選手ID,選手名,WBCチーム,ポジション,背番号,生年月日,年齢,身長（cm）,体重（kg）,打席,投球腕,出身国,MLBチーム,MLB初出場年,MLB経験年数
677800,Wilyer Abreu,Venezuela,LF,16,1999-06-24,26,178,98,L,L,Venezuela,Boston Red Sox,2023,3
672456,Keider Montero,Venezuela,P,54,2000-07-06,25,185,66,R,R,Venezuela,Toledo Mud Hens,2024,2
691594,Javier Sanoja,Venezuela,CF,4,2002-09-03,23,170,68,R,R,Venezuela,Miami Marlins,2024,2
600921,Andrés Machado,Venezuela,P,30,1993-04-22,32,185,105,R,R,Venezuela,Caribes de Anzoategui,2017,9
650402,Gleyber Torres,Venezuela,2B,25,1996-12-13,29,178,93,R,R,Venezuela,Detroit Tigers,2018,8
660670,Ronald Acuña Jr.,Venezuela,RF,21,1997-12-18,28,183,93,R,R,Venezuela,Atlanta Braves,2018,8
624133,Ranger Suarez,Venezuela,P,55,1995-08-26,30,185,98,L,L,Venezuela,Boston Red Sox,2018,8
646242,Jhonathan Díaz,Venezuela,P,74,1996-09-13,29,183,77,L,L,Venezuela,Tacoma Rainiers,2021,5
553993,Eugenio Suárez,Venezuela,3B,7,1991-07-18,34,180,97,R,R,Venezuela,Cincinnati Reds,2014,12
646241,Enmanuel De Jesus,Venezuela,P,37,1996-12-10,29,190,86,L,L,Venezuela,Detroit Tigers,2023,3
661388,William Contreras,Venezuela,C,23,1997-12-24,28,178,98,R,R,Venezuela,Milwaukee Brewers,2020,6
678662,Ezequiel Tovar,Venezuela,SS,14,2001-08-01,24,183,73,R,R,Venezuela,Colorado Rockies,2022,4
660825,Eduard Bazardo,Venezuela,P,83,1995-09-01,30,183,86,R,R,Venezuela,Seattle Mariners,2021,5
683627,Anthony Molina,Venezuela,P,35,2002-01-12,24,185,77,R,R,Venezuela,Gwinnett Stripers,2024,2
672580,Maikel Garcia,Venezuela,3B,11,2000-03-03,26,185,82,R,R,Venezuela,Kansas City Royals,2022,4
622608,Antonio Senzatela,Venezuela,P,34,1995-01-21,31,185,107,R,R,Venezuela,Colorado Rockies,2017,9
672582,Angel Zerpa,Venezuela,P,61,1999-09-27,26,183,108,L,L,Venezuela,Milwaukee Brewers,2021,5
650333,Luis Arraez,Venezuela,1B,2,1997-04-09,28,178,84,L,R,Venezuela,San Francisco Giants,2019,7
672782,Yoendrys Gómez,Venezuela,P,94,1999-10-15,26,190,96,R,R,Venezuela,Tampa Bay Rays,2023,3
622103,Gerardo Reyes,Mexico,P,33,1993-05-13,32,180,88,R,R,Mexico,Diablos Rojos del Mexico,2019,7
687401,Joey Ortiz,Mexico,SS,7,1998-07-14,27,178,87,R,R,USA,Milwaukee Brewers,2023,3
696030,Alejandro Osuna,Mexico,OF,19,2002-10-10,23,175,84,L,L,Mexico,Round Rock Express,2025,1
680767,Victor Vodnik,Mexico,P,11,1999-10-09,26,183,91,R,R,USA,Colorado Rockies,2023,3
668227,Randy Arozarena,Mexico,LF,56,1995-02-28,31,178,84,R,R,Cuba,Seattle Mariners,2019,7
665871,Javier Assad,Mexico,P,77,1997-07-30,28,185,91,R,R,Mexico,Iowa Cubs,2022,4
518435,Manny Barreda,Mexico,P,50,1988-10-08,37,180,88,R,R,USA,Saraperos de Saltillo,2021,5
642133,Rowdy Tellez,Mexico,DH,44,1995-03-16,31,193,122,L,L,USA,Gwinnett Stripers,2018,8
680771,Mateo Gil,Mexico,3B,3,2000-07-24,25,183,82,R,R,USA,Charros de Jalisco,,
608841,Joey Meneses,Mexico,1B,32,1992-05-06,33,193,107,R,R,Mexico,Las Vegas Aviators,2022,4
691858,Jared Serna,Mexico,DH,59,2002-06-01,23,170,79,R,R,Mexico,Jacksonville Jumbo Shrimp,,
676395,Robert Garcia,Mexico,P,62,1996-06-14,29,193,107,R,L,USA,Texas Rangers,2023,3
650960,Daniel Duarte,Mexico,P,53,1996-12-04,29,183,107,R,R,Mexico,Syracuse Mets,2022,4
657514,Brennan Bernardino,Mexico,P,22,1992-01-15,34,193,82,L,L,USA,Colorado Rockies,2022,4
656029,Alexis Wilson,Mexico,C,26,1996-08-13,29,178,91,R,R,Mexico,Tigres de Quintana Roo,,
694401,Alexander Armenta,Mexico,P,35,2004-06-26,21,175,85,L,L,Mexico,Tigres de Quintana Roo,,
592836,Taijuan Walker,Mexico,P,99,1992-08-13,33,193,107,R,R,USA,Philadelphia Phillies,2013,13
672911,Jesus Cruz,Mexico,P,49,1995-04-15,30,185,104,R,R,Mexico,Saraperos de Saltillo,2020,6
692024,Alex Carrillo,Mexico,P,24,1997-06-06,28,188,100,R,R,USA,Syracuse Mets,2025,1
805373,Nacho Alvarez Jr.,Mexico,3B,2,2003-04-11,22,178,86,R,R,USA,Gwinnett Stripers,2024,2
666018,Jonathan Aranda,Mexico,1B,8,1998-05-23,27,183,98,L,R,Mexico,Tampa Bay Rays,2022,4
662253,Andrés Muñoz,Mexico,P,75,1999-01-16,27,188,101,R,R,Mexico,Seattle Mariners,2019,7
641995,Roel Ramírez,Mexico,P,55,1995-05-26,30,183,107,R,R,USA,Toros de Tijuana,2020,6
680776,Jarren Duran,Mexico,RF,16,1996-09-05,29,183,93,L,R,USA,Boston Red Sox,2021,5
703725,Luis Gastelum,Mexico,P,27,2001-09-27,24,188,79,R,R,Mexico,Memphis Redbirds,,
676140,Julian Ornelas,Mexico,OF,31,1996-12-28,29,183,83,L,R,Mexico,Diablos Rojos del Mexico,,
672386,Alejandro Kirk,Mexico,C,30,1998-11-06,27,173,111,R,R,Mexico,Toronto Blue Jays,2020,6
696519,Samy Natera Jr.,Mexico,P,17,1999-11-05,26,193,104,L,L,Mexico,Salt Lake Bees,,
693304,Nick Gonzales,Mexico,2B,13,1999-05-27,26,173,88,R,R,USA,Pittsburgh Pirates,2023,3
677950,Alek Thomas,Mexico,CF,5,2000-04-28,25,175,79,L,L,USA,Arizona Diamondbacks,2022,4
695402,Najer Victor,Great Britain,P,8,2001-11-28,24,185,88,R,R,USA,Rancho Cucamonga Quakes,,
701796,Will Cresswell,Great Britain,C,30,2003-08-18,22,183,93,R,R,USA,Dunedin Blue Jays,,
689288,Matt Koperniak,Great Britain,LF,29,1998-02-08,28,183,94,L,R,United Kingdom,Memphis Redbirds,,
687045,Justin Wylie,Great Britain,OF,13,1996-08-26,29,178,88,R,R,USA,Jaguares de Nayarit,,
702465,Ryan Long,Great Britain,P,35,1999-10-19,26,198,109,R,R,USA,Chesapeake Baysox,,
695680,Miles Langhorne,Great Britain,P,45,2003-04-30,22,193,98,R,R,USA,Wisconsin Timber Rattlers,,
643588,Tyler Viza,Great Britain,P,21,1994-10-21,31,190,77,R,R,USA,Conspiradores de Queretaro,,
668687,Andre Scrubb,Great Britain,P,70,1995-01-13,31,193,122,R,R,USA,Cangrejeros de Santurce,2020,6
592229,Dylan Covey,Great Britain,P,33,1991-08-14,34,185,98,R,R,USA,Gwinnett Stripers,2017,9
808952,Jack Seppings,Great Britain,P,27,2002-07-03,23,185,86,R,R,USA,Wisconsin Timber Rattlers,,
800712,Wallace Clark,Great Britain,SS,10,2002-06-08,23,183,88,S,R,United Kingdom,Hillsboro Hops,,
677565,Kristian Robinson,Great Britain,DH,59,2000-12-11,25,190,86,R,R,Bahamas,Reno Aces,,
801643,Owen Wild,Great Britain,P,34,2002-07-30,23,188,104,R,R,USA,Montgomery Biscuits,,
694341,Brendan Beck,Great Britain,P,19,1998-10-06,27,188,99,R,R,USA,Scranton/Wilkes-Barre RailRiders,,
695670,Harry Ford,Great Britain,C,1,2003-02-21,23,178,91,R,R,USA,Rochester Red Wings,2025,1
663941,Tristan Beck,Great Britain,P,43,1996-06-24,29,193,91,R,R,USA,Sacramento River Cats,2023,3
687630,Donovan Benoit,Great Britain,P,41,1999-01-22,27,190,90,R,R,USA,Chattanooga Lookouts,,
681987,Nate Eaton,Great Britain,CF,18,1996-12-22,29,180,91,R,R,USA,Worcester Red Sox,2022,4
681501,Chavez Fernander,Great Britain,P,46,1997-07-07,28,190,93,R,R,Bahamas,Acereros del Norte,,
572204,Trayce Thompson,Great Britain,RF,28,1991-03-15,35,188,102,R,R,USA,Worcester Red Sox,2015,11
665862,Jazz Chisholm Jr.,Great Britain,2B,3,1998-02-01,28,180,83,L,R,Bahamas,New York Yankees,2020,6
657101,Nick Wells,Great Britain,P,23,1996-02-21,30,196,84,L,L,USA,Toros de Tijuana,,
681252,Jack Anderson,Great Britain,P,62,1999-11-23,26,190,89,R,R,USA,Worcester Red Sox,,
681230,BJ Murray,Great Britain,1B,7,2000-01-05,26,180,93,S,R,Bahamas,Iowa Cubs,,
682187,Nick Ward,Great Britain,SS,5,1995-10-19,30,175,82,L,R,USA,Adelaide Giants,,
804541,Gary Gill Hill,Great Britain,P,17,2004-09-20,21,188,73,R,R,USA,Bowling Green Hot Rods,,
474699,Vance Worley,Great Britain,P,49,1987-09-25,38,188,109,R,R,USA,Syracuse Mets,2010,16
671155,Ivan Johnson,Great Britain,3B,15,1998-10-11,27,183,86,S,R,USA,Louisville Bats,,
676942,Graham Spraker,Great Britain,P,96,1995-03-19,31,188,85,R,R,USA,Cardenales de Lara,,
691588,Ian Lewis Jr.,Great Britain,SS,6,2003-02-04,23,180,80,S,R,Bahamas,Pensacola Blue Wahoos,,
670103,Raymond Burgos,Puerto Rico,P,29,1998-11-29,27,196,95,L,L,Puerto Rico,Gigantes de Carolina,2024,2
455117,Martín Maldonado,Puerto Rico,C,15,1986-08-16,39,183,104,R,R,Puerto Rico,Indios de Mayaguez,2011,15
663494,Bryan Torres,Puerto Rico,CF,2,1997-07-02,28,170,75,L,R,Puerto Rico,Memphis Redbirds,,
695684,Elmer Rodríguez,Puerto Rico,P,18,2003-08-18,22,193,80,L,R,Puerto Rico,Scranton/Wilkes-Barre RailRiders,,
671218,Heliot Ramos,Puerto Rico,LF,22,1999-09-07,26,180,107,R,R,Puerto Rico,San Francisco Giants,2022,4
681938,Angel Reyes,Puerto Rico,P,34,1997-10-17,28,188,93,R,R,Puerto Rico,Saraperos de Saltillo,,
670329,Rico Garcia,Puerto Rico,P,52,1994-01-10,32,175,98,R,R,USA,Baltimore Orioles,2019,7
571448,Nolan Arenado,Puerto Rico,3B,28,1991-04-16,34,188,98,R,R,USA,Arizona Diamondbacks,2013,13
700842,Eduardo Rivera,Puerto Rico,P,99,2003-06-13,22,201,108,L,L,Puerto Rico,Portland Sea Dogs,,
664744,Jose Espada,Puerto Rico,P,35,1997-02-22,29,183,84,R,R,Puerto Rico,Norfolk Tides,2023,3
666126,Carlos Cortes,Puerto Rico,RF,14,1997-06-30,28,170,89,L,S,USA,Athletics,2025,1
687879,Luis Quiñones,Puerto Rico,P,51,1997-07-02,28,183,93,R,R,Puerto Rico,Wichita Wind Surge,,
592254,José De León,Puerto Rico,P,87,1992-08-07,33,183,100,R,R,Puerto Rico,Criollos de Caguas,2016,10
650489,Willi Castro,Puerto Rico,2B,3,1997-04-24,28,183,93,S,R,Puerto Rico,Colorado Rockies,2019,7
676679,Luis Vázquez,Puerto Rico,SS,8,1999-10-10,26,183,75,R,R,Puerto Rico,Norfolk Tides,2024,2
669004,MJ Melendez,Puerto Rico,LF,10,1998-11-29,27,183,86,L,R,USA,Syracuse Mets,2022,4
683090,Matthew Lugo,Puerto Rico,CF,6,2001-05-09,24,183,86,R,R,Puerto Rico,Salt Lake Bees,2025,1
687231,Darell Hernaiz,Puerto Rico,SS,23,2001-08-03,24,180,86,R,R,Puerto Rico,Athletics,2024,2
592696,Eddie Rosario,Puerto Rico,DH,17,1991-09-28,34,183,82,L,R,Puerto Rico,Toros del Este,2015,11
518585,Fernando Cruz,Puerto Rico,P,63,1990-03-28,36,188,108,R,R,Puerto Rico,New York Yankees,2022,4
695490,Edwin Arroyo,Puerto Rico,SS,13,2003-08-25,22,180,78,S,R,Puerto Rico,Louisville Bats,,
621242,Edwin Díaz,Puerto Rico,P,39,1994-03-22,32,190,75,R,R,Puerto Rico,Los Angeles Dodgers,2016,10
703106,Ricardo Velez,Puerto Rico,P,44,1998-08-21,27,185,82,R,R,Puerto Rico,Frisco RoughRiders,,
605441,Yacksel Ríos,Puerto Rico,P,75,1993-06-27,32,190,98,R,R,Puerto Rico,Iowa Cubs,2017,9
676082,Gabriel Rodriguez,Puerto Rico,P,69,1999-04-09,26,185,88,L,L,Puerto Rico,Binghamton Rumble Ponies,,
663558,Jovani Morán,Puerto Rico,P,16,1997-04-24,28,185,76,L,L,Puerto Rico,Boston Red Sox,2021,5
607625,Seth Lugo,Puerto Rico,P,67,1989-11-17,36,193,102,R,R,USA,Kansas City Royals,2016,10
605347,Jorge López,Puerto Rico,P,48,1993-02-10,33,190,91,R,R,Puerto Rico,Indios de Mayaguez,2015,11
543877,Christian Vázquez,Puerto Rico,C,7,1990-08-21,35,173,93,R,R,Puerto Rico,Houston Astros,2014,12
656896,Emmanuel Rivera,Puerto Rico,1B,26,1996-06-29,29,183,102,R,R,Puerto Rico,Puerto Rico,2021,5
650813,Luis Escobar,Colombia,P,78,1996-05-30,29,185,93,R,R,Colombia,Acereros del Norte,2019,7
666123,Austin Bergner,Colombia,P,45,1997-05-01,28,196,95,R,R,USA,Frisco RoughRiders,,
672569,Gustavo Campero,Colombia,RF,57,1997-09-20,28,168,83,S,R,Colombia,Rocket City Trash Pandas,2024,2
667354,Jesus Marriaga,Colombia,OF,16,1998-12-17,27,183,77,R,R,Colombia,Colombia,,
703197,Michael Arroyo,Colombia,DH,8,2004-11-03,21,178,73,R,R,Colombia,Arkansas Travelers,,
627218,Emerson Martinez,Colombia,P,96,1995-01-11,31,183,86,R,R,Venezuela,Tiburones de La Guaira,,
623912,Harold Ramírez,Colombia,LF,43,1994-09-06,31,180,105,R,R,Colombia,Tecos de los Dos Laredos,2019,7
622426,Adrian Almeida,Colombia,P,19,1995-02-25,31,183,73,L,L,Venezuela,Rieleros de Aguascalientes,,
666669,Elkin Alcala,Colombia,P,26,1997-08-02,28,180,79,R,R,Colombia,Charros de Jalisco,,
456781,Donovan Solano,Colombia,2B,7,1987-12-17,38,173,95,R,R,Colombia,Texas Rangers,2012,14
664584,Jhon Romero,Colombia,P,73,1995-01-17,31,178,88,R,R,Colombia,Tigres de Aragua,2021,5
642751,Carlos Martínez,Colombia,C,70,1995-05-02,30,180,88,R,R,Colombia,Saraperos de Saltillo,,
500779,Jose Quintana,Colombia,P,62,1989-01-24,37,188,102,R,L,Colombia,Colorado Rockies,2012,14
570482,Gio Urshela,Colombia,3B,29,1991-10-11,34,183,98,R,R,Colombia,Minnesota Twins,2015,11
527054,Julio Teheran,Colombia,P,49,1991-01-27,35,188,93,R,R,Colombia,Toros de Tijuana,2011,15
622738,Tito Polo,Colombia,PH,23,1994-08-23,31,178,88,R,R,Colombia,Algodoneros de Guasave,,
672550,Danis Correa,Colombia,P,41,1999-08-26,26,180,68,R,R,Colombia,Brooklyn Cyclones,,
672478,Jordan Diaz,Colombia,PH,13,2000-08-13,25,175,79,R,R,Colombia,Gigantes del Cibao,2022,4
670871,Guillo Zuñiga,Colombia,P,66,1998-10-10,27,196,104,R,R,Colombia,Seattle Mariners,2023,3
690345,Pedro Garcia,Colombia,P,72,1995-03-21,31,180,100,R,R,Venezuela,Bravos de Leon,,
672715,Luis Patiño,Colombia,P,77,1999-10-26,26,185,87,R,R,Colombia,Aguilas Cibaenas,2020,6
682679,Dayan Frias,Colombia,SS,71,2002-06-25,23,175,64,S,R,Colombia,Columbus Clippers,,
664375,Ezequiel Zabaleta,Colombia,P,10,1995-08-20,30,183,79,R,R,Colombia,Guerreros de Oaxaca,,
683454,Brayan Buelvas,Colombia,CF,12,2002-06-08,23,178,70,R,R,Colombia,Midland RockHounds,,
800124,David Lorduy,Colombia,P,39,2003-10-15,22,183,90,R,R,Colombia,Daytona Tortugas,,
677013,Rio Gomez,Colombia,P,92,1994-10-20,31,183,86,L,L,USA,Estrellas Orientales,,
642857,Yapson Gomez,Colombia,P,30,1993-10-02,32,178,73,L,L,Venezuela,Tiburones de La Guaira,,
471906,Reynaldo Rodriguez,Colombia,1B,17,1986-07-02,39,183,88,R,R,Colombia,Guerreros de Oaxaca,,
678863,Carlos Arroyo,Colombia,2B,40,2001-07-11,24,175,77,R,R,Colombia,Rome Emperors,,
678962,Daniel Vellojin,Colombia,C,51,2000-03-15,26,180,73,L,R,Colombia,Montgomery Biscuits,,
667351,Brandon Leyton,Nicaragua,PH,5,1998-12-17,27,178,75,R,R,Nicaragua,Dayton Dragons,,
692230,Carlos Rodriguez,Nicaragua,P,27,2001-11-27,24,180,92,R,R,Nicaragua,Nashville Sounds,2024,2
821829,Jose Orozco,Nicaragua,IF,20,1999-06-03,26,170,79,L,R,Nicaragua,,,
665998,Ismael Munguia,Nicaragua,CF,18,1998-10-19,27,173,72,L,L,Nicaragua,New Hampshire Fisher Cats,,
668901,Mark Vientos,Nicaragua,3B,13,1999-12-11,26,190,84,R,R,USA,New York Mets,2022,4
664342,Benjamin Alegria,Nicaragua,2B,1,1997-08-06,28,178,75,R,R,Nicaragua,DSL Rojos,,
689209,Chase Dawson,Nicaragua,LF,15,1997-06-12,28,175,84,L,R,USA,Bravos de Leon,,
649700,Melvin Novoa,Nicaragua,C,75,1996-06-17,29,180,91,R,R,Nicaragua,Frisco RoughRiders,,
668965,Freddy Zamora,Nicaragua,SS,23,1998-11-01,27,183,84,R,R,Nicaragua,Nashville Sounds,,
642574,Ronald Medrano,Nicaragua,P,36,1995-09-17,30,183,77,R,R,Nicaragua,Rieleros de Aguascalientes,,
541640,Erasmo Ramírez,Nicaragua,P,30,1990-05-02,35,183,100,R,R,Nicaragua,St. Paul Saints,2012,14
821830,Omar Mendoza,Nicaragua,DH,45,1997-10-30,28,173,95,R,R,Nicaragua,,,
678897,Bryan Torres,Nicaragua,P,78,2001-04-12,24,188,82,R,R,Nicaragua,GCL Pirates,,
469191,Carlos Teller,Nicaragua,P,37,1986-10-03,39,180,82,L,L,Nicaragua,Dominican Republic,,
830693,Kenword Burton,Nicaragua,P,10,1998-08-04,27,183,89,R,R,Nicaragua,,,
669023,Jeter Downs,Nicaragua,PH,4,1998-07-27,27,178,89,R,R,Colombia,Scranton/Wilkes-Barre RailRiders,2022,4
830698,Cristhian Sandoval,Nicaragua,RF,95,2000-05-09,25,180,82,R,R,Nicaragua,,,
830696,Ronald Rivera,Nicaragua,C,25,1993-11-28,32,183,91,R,R,Nicaragua,,,
596144,Cheslor Cuthbert,Nicaragua,PH,24,1992-11-16,33,185,86,R,R,Nicaragua,Tigres de Aragua,2015,11
608476,Osman Gutierrez,Nicaragua,P,41,1994-12-15,31,193,113,R,R,Nicaragua,Bravos de Margarita,,
679752,Angel Obando,Nicaragua,P,2,1999-01-19,27,180,81,R,R,Nicaragua,Aguilas del Zulia,,
500724,JC Ramírez,Nicaragua,P,66,1988-08-16,37,190,79,R,R,Nicaragua,Caribes de Anzoategui,2013,13
691602,Stiven Cruz,Nicaragua,P,14,2001-11-14,24,188,75,R,R,Nicaragua,Biloxi Shuckers,,
807358,Danilo Bermudez,Nicaragua,P,42,1999-03-22,27,178,85,L,L,Nicaragua,,,
808986,Duque Hebbert,Nicaragua,P,62,2001-10-29,24,178,77,R,R,Nicaragua,West Michigan Whitecaps,,
650356,Dilmer Mejia,Nicaragua,P,32,1997-07-09,28,178,88,L,L,Nicaragua,Aguilas del Zulia,,
699325,Oscar Rayo,Nicaragua,P,90,2002-01-03,24,185,82,L,L,Nicaragua,Northwest Arkansas Naturals,,
692378,Elian Rayo,Nicaragua,PH,31,2003-03-04,23,183,92,R,R,Nicaragua,San Jose Giants,,
650375,Juan Montes,Nicaragua,PH,99,1995-05-15,30,185,91,R,R,Guatemala,Aberdeen IronBirds,,
693721,Emanuel Trujillo,Nicaragua,1B,9,2001-10-19,24,185,93,R,R,Nicaragua,DSL Giants Black,,
622663,Luis Severino,Dominican Republic,P,40,1994-02-20,32,188,99,R,R,Dominican Republic,Athletics,2015,11
650911,Cristopher Sánchez,Dominican Republic,P,61,1996-12-12,29,198,91,L,L,Dominican Republic,Philadelphia Phillies,2021,5
656061,Albert Abreu,Dominican Republic,P,54,1995-09-26,30,188,86,R,R,Dominican Republic,Tigres del Licey,2020,6
645261,Sandy Alcantara,Dominican Republic,P,7,1995-09-07,30,196,91,R,R,Dominican Republic,Miami Marlins,2017,9
665833,Oneil Cruz,Dominican Republic,PH,15,1998-10-04,27,201,112,L,R,Dominican Republic,Pittsburgh Pirates,2021,5
593974,Wandy Peralta,Dominican Republic,P,59,1991-07-27,34,183,103,L,L,Dominican Republic,San Diego Padres,2016,10
623211,Huascar Brazobán,Dominican Republic,P,43,1989-10-15,36,190,70,R,R,Dominican Republic,New York Mets,2022,4
682842,Abner Uribe,Dominican Republic,P,45,2000-06-20,25,190,93,R,R,Dominican Republic,Milwaukee Brewers,2023,3
642397,Gregory Soto,Dominican Republic,P,65,1995-02-11,31,185,112,L,L,Dominican Republic,Pittsburgh Pirates,2019,7
642708,Amed Rosario,Dominican Republic,3B,14,1995-11-20,30,185,103,R,R,Dominican Republic,New York Yankees,2017,9
606466,Ketel Marte,Dominican Republic,2B,4,1993-10-12,32,183,95,S,R,Dominican Republic,Arizona Diamondbacks,2015,11
678394,Brayan Bello,Dominican Republic,P,66,1999-05-17,26,185,88,R,R,Dominican Republic,Boston Red Sox,2022,4
570481,Erik González,Dominican Republic,2B,11,1991-08-31,34,188,93,R,R,Dominican Republic,Dominican Republic,2016,10
516809,Junior Lake,Dominican Republic,LF,0,1990-03-27,36,188,104,R,R,Dominican Republic,Toros de Tijuana,2013,13
672695,Geraldo Perdomo,Dominican Republic,SS,2,1999-10-22,26,188,92,S,R,Dominican Republic,Arizona Diamondbacks,2021,5
592518,Manny Machado,Dominican Republic,3B,3,1992-07-06,33,188,99,R,R,USA,San Diego Padres,2012,14
675848,Juan Mejia,Dominican Republic,P,47,2000-07-04,25,190,91,R,R,Dominican Republic,Colorado Rockies,2025,1
669224,Austin Wells,Dominican Republic,C,28,1999-07-12,26,185,100,L,R,USA,New York Yankees,2023,3
622554,Seranthony Domínguez,Dominican Republic,P,48,1994-11-25,31,185,102,R,R,Dominican Republic,Chicago White Sox,2018,8
665660,Elvis Alvarado,Dominican Republic,P,37,1999-02-23,27,198,115,R,R,Dominican Republic,Athletics,2025,1
642701,Dennis Santana,Dominican Republic,P,60,1996-04-12,29,188,92,R,R,Dominican Republic,Pittsburgh Pirates,2018,8
665487,Fernando Tatis Jr.,Dominican Republic,RF,23,1999-01-02,27,190,98,R,R,Dominican Republic,San Diego Padres,2019,7
608032,Carlos Estévez,Dominican Republic,P,53,1992-12-28,33,198,126,R,R,Dominican Republic,Kansas City Royals,2016,10
665489,Vladimir Guerrero Jr.,Dominican Republic,1B,27,1999-03-16,27,183,111,R,R,Canada,Toronto Blue Jays,2019,7
665742,Juan Soto,Dominican Republic,LF,22,1998-10-25,27,185,102,L,L,Dominican Republic,New York Mets,2018,8
666808,Camilo Doval,Dominican Republic,P,75,1997-07-04,28,188,93,R,R,Dominican Republic,New York Yankees,2021,5
682663,Agustín Ramírez,Dominican Republic,C,50,2001-09-10,24,185,95,R,R,Dominican Republic,Miami Marlins,2025,1
677594,Julio Rodríguez,Dominican Republic,CF,44,2000-12-29,25,193,103,R,R,Dominican Republic,Seattle Mariners,2022,4
691406,Junior Caminero,Dominican Republic,DH,13,2003-07-05,22,185,100,R,R,Dominican Republic,Tampa Bay Rays,2023,3
467793,Carlos Santana,Dominican Republic,DH,41,1986-04-08,39,178,95,S,R,Dominican Republic,Arizona Diamondbacks,2010,16
669257,Will Smith,United States,C,16,1995-03-28,31,178,88,R,R,USA,Los Angeles Dodgers,2019,7
694973,Paul Skenes,United States,P,30,2002-05-29,23,198,118,R,R,USA,Pittsburgh Pirates,2024,2
701350,Roman Anthony,United States,RF,3,2004-05-13,21,190,91,L,R,USA,Boston Red Sox,2025,1
695243,Mason Miller,United States,P,19,1998-08-24,27,196,91,R,R,USA,San Diego Padres,2023,3
669373,Tarik Skubal,United States,P,27,1996-11-20,29,190,109,R,L,USA,Detroit Tigers,2020,6
547180,Bryce Harper,United States,1B,24,1992-10-16,33,185,95,L,R,USA,Philadelphia Phillies,2012,14
683002,Gunnar Henderson,United States,SS,11,2001-06-29,24,190,104,L,R,USA,Baltimore Orioles,2022,4
642232,Ryan Yarbrough,United States,P,44,1991-12-31,34,196,93,R,L,USA,New York Yankees,2018,8
663728,Cal Raleigh,United States,C,29,1996-11-26,29,188,107,S,R,USA,Seattle Mariners,2021,5
676391,Ernie Clement,United States,LF,5,1996-03-22,30,183,77,R,R,USA,Toronto Blue Jays,2021,5
657277,Logan Webb,United States,P,62,1996-11-18,29,188,100,R,R,USA,San Francisco Giants,2019,7
608324,Alex Bregman,United States,3B,2,1994-03-30,32,178,86,R,R,USA,Chicago Cubs,2016,10
592450,Aaron Judge,United States,RF,99,1992-04-26,33,201,128,R,R,USA,New York Yankees,2016,10
691718,Pete Crow-Armstrong,United States,CF,4,2002-03-25,24,183,83,L,L,USA,Chicago Cubs,2023,3
676477,Garrett Whitlock,United States,P,59,1996-06-11,29,196,101,R,R,USA,Boston Red Sox,2021,5
656941,Kyle Schwarber,United States,DH,12,1993-03-05,33,180,104,L,R,USA,Philadelphia Phillies,2015,11
502671,Paul Goldschmidt,United States,1B,43,1987-09-10,38,188,102,R,R,USA,New York Yankees,2011,15
664076,Garrett Cleavinger,United States,P,60,1994-04-23,31,185,102,R,L,USA,Tampa Bay Rays,2020,6
605280,Clay Holmes,United States,P,35,1993-03-27,33,196,111,R,R,USA,New York Mets,2018,8
571510,Matthew Boyd,United States,P,31,1991-02-02,35,190,101,L,L,USA,Chicago Cubs,2015,11
477132,Clayton Kershaw,United States,P,22,1988-03-19,38,193,102,L,L,USA,Los Angeles Dodgers,2008,18
643377,Griffin Jax,United States,P,48,1994-11-22,31,188,88,R,R,USA,Tampa Bay Rays,2021,5
642100,Gabe Speier,United States,P,55,1995-04-12,30,180,91,L,L,USA,Seattle Mariners,2019,7
668930,Brice Turang,United States,2B,13,1999-11-21,26,183,86,L,R,USA,Milwaukee Brewers,2023,3
608379,Michael Wacha,United States,P,52,1991-07-01,34,198,98,R,R,USA,Kansas City Royals,2013,13
670280,David Bednar,United States,P,53,1994-10-10,31,185,113,L,R,USA,New York Yankees,2019,7
641745,Brad Keller,United States,P,40,1995-07-27,30,196,116,R,R,USA,Philadelphia Phillies,2018,8
690997,Nolan McLean,United States,P,26,2001-07-24,24,188,97,R,R,USA,New York Mets,2025,1
621439,Byron Buxton,United States,CF,25,1993-12-18,32,185,86,R,R,USA,Minnesota Twins,2015,11
677951,Bobby Witt Jr.,United States,SS,7,2000-06-14,25,185,91,R,R,USA,Kansas City Royals,2022,4
693861,Gabriel Carmo,Brazil,C,7,1995-05-17,30,180,79,R,R,Brazil,,,
517209,Murilo Gouvea,Brazil,P,34,1988-09-15,37,190,95,R,R,Brazil,Tiburones de La Guaira,,
670622,Gabriel Maciel,Brazil,CF,3,1999-01-10,27,173,84,S,R,Brazil,Lansing Lugnuts,,
807344,Enzo Sawayama,Brazil,P,18,2003-10-15,22,183,100,L,L,Japan,,,
831112,Osvaldo Carvalho,Brazil,1B,6,2001-06-08,24,185,95,L,R,Brazil,,,
806891,Joao Gabriel Marostica,Brazil,P,0,2004-11-08,21,190,92,R,R,Brazil,International Team (18U),,
831113,Felipe Mizukosi,Brazil,SS,39,1994-11-26,31,175,85,R,R,Brazil,,,
831114,Tiago Nishiyama,Brazil,2B,12,2005-11-20,20,178,83,L,R,Brazil,,,
813429,Lucas Ramirez,Brazil,RF,24,2006-01-16,20,190,93,L,R,USA,Rancho Cucamonga Quakes,,
